 *	 *
 - %1	- %1
 10mm × 20mm (小标签)	10mm × 20mm (Small Label)
 30mm × 50mm (中标签)	30mm × 50mm (Medium Label)
 50mm × 70mm (大标签)	50mm × 70mm (Large Label)
 70mm × 100mm (特大标签)	70mm × 100mm (Extra Large Label)
 A	A
 Ctrl+P	Ctrl+P
 Ctrl+Q	Ctrl+Q
 Ctrl+R	Ctrl+R
 Ctrl+Shift+[	Ctrl+Shift+[
 Ctrl+Shift+]	Ctrl+Shift+]
 Ctrl+[	Ctrl+[
 Ctrl+]	Ctrl+]
 Excel 导入	Excel Import
 Excel 文件 (*.xlsx *.xls)	Excel Files (*.xlsx *.xls)
 Excel 文件不存在: %1	Excel file not found: %1
 JPEG图片 (*.jpg *.jpeg)	JPEG Images (*.jpg *.jpeg)
 MySQL 数据库	MySQL Database
 MySQL 数据源	MySQL Data Source
 No Image	No Image
 PDF 文件 (*.pdf)	PDF Files (*.pdf)
 PNG图片 (*.png)	PNG Images (*.png)
 Sheet	Sheet
 Sheet1	Sheet1
 SimpleLabel	SimpleLabel
 SimpleLabel - %1	SimpleLabel - %1
 SimpleLabel - 未命名	SimpleLabel - Untitled
 一行一个值，或使用下方的分隔符拆分	One value per line, or split using the separators below
 上传文件...	Upload File...
 上移一层	Bring Forward
 上边距:	Top Margin:
 下移一层	Send Backward
 下边距:	Bottom Margin:
 主工具栏	Main Toolbar
 主机	Host
 二维码	QR Code
 人员证	Staff Badge
 从文件加载图像	Load Image from File
 仓储物流	Warehouse Logistics
 以下模板删除失败：\n%1	Failed to delete the following templates:\n%1
 份数: %1	Copies: %1
 位置: (0, 0)	Position: (0, 0)
 例如 localhost	e.g. localhost
 保存(&S)	&Save
 保存排版文件	Save Layout File
 保存文件	Save File
 保存标签文件	Save Label File
 保持圆形	Keep Circle
 保持宽高比	Keep Aspect Ratio
 修改二维码数据	Edit QR Code Data
 修改圆角半径	Edit Corner Radius
 修改文本	Edit Text
 修改条形码数据	Edit Barcode Data
 修改线条样式	Edit Stroke Style
 值	Value
 元素类型 %1 不支持数据源应用	Element type %1 does not support data source application
 元素类型 %1 暂不支持数据源预览	Element type %1 does not yet support data source preview
 全部	All
 内容:	Content:
 内容预览	Content Preview
 分类:	Category:
 分隔符	Delimiter
 切换线条虚线/实线样式	Toggle between dashed and solid lines
 列	Column
 列数:	Columns:
 创建	Create
 创建一个指定尺寸的空白标签	Create a blank label with specified size
 删除	Delete
 删除二维码	Delete QR Code
 删除图形项	Delete Graphic Item
 删除文本	Delete Text
 删除条形码	Delete Barcode
 删除模板	Delete Template
 删除表格列分隔线	Remove Table Column Divider
 删除表格行分隔线	Remove Table Row Divider
 删除该列分隔线	Remove This Column Divider
 删除该行分隔线	Remove This Row Divider
 删除选中模板	Delete Selected Template
 刷新	Refresh
 刷新表	Refresh Table
 剪切	Cut
 剪切(&T)	Cu&t
 剪切图形项	Cut Graphic Item
 剪切圆形	Cut Circle
 剪切多边形	Cut Polygon
 剪切星形	Cut Star
 剪切矩形	Cut Rectangle
